DateID,Date,Year,Quarter,Month,MonthName,Week,DayOfWeek,IsWeekend,FiscalYear,FiscalQuarter
20200101,2020-01-01,2020,Q1,1,January,1,Wednesday,False,2019,FQ4
20200102,2020-01-02,2020,Q1,1,January,1,Thursday,False,2019,FQ4
20200103,2020-01-03,2020,Q1,1,January,1,Friday,False,2019,FQ4
20200104,2020-01-04,2020,Q1,1,January,1,Saturday,True,2019,FQ4
20200105,2020-01-05,2020,Q1,1,January,1,Sunday,True,2019,FQ4
20200106,2020-01-06,2020,Q1,1,January,2,Monday,False,2019,FQ4
20200107,2020-01-07,2020,Q1,1,January,2,Tuesday,False,2019,FQ4
20200108,2020-01-08,2020,Q1,1,January,2,Wednesday,False,2019,FQ4
20200109,2020-01-09,2020,Q1,1,January,2,Thursday,False,2019,FQ4
20200110,2020-01-10,2020,Q1,1,January,2,Friday,False,2019,FQ4
20200111,2020-01-11,2020,Q1,1,January,2,Saturday,True,2019,FQ4
20200112,2020-01-12,2020,Q1,1,January,2,Sunday,True,2019,FQ4
20200113,2020-01-13,2020,Q1,1,January,3,Monday,False,2019,FQ4
20200114,2020-01-14,2020,Q1,1,January,3,Tuesday,False,2019,FQ4
20200115,2020-01-15,2020,Q1,1,January,3,Wednesday,False,2019,FQ4
20200116,2020-01-16,2020,Q1,1,January,3,Thursday,False,2019,FQ4
20200117,2020-01-17,2020,Q1,1,January,3,Friday,False,2019,FQ4
20200118,2020-01-18,2020,Q1,1,January,3,Saturday,True,2019,FQ4
20200119,2020-01-19,2020,Q1,1,January,3,Sunday,True,2019,FQ4
20200120,2020-01-20,2020,Q1,1,January,4,Monday,False,2019,FQ4
20200121,2020-01-21,2020,Q1,1,January,4,Tuesday,False,2019,FQ4
20200122,2020-01-22,2020,Q1,1,January,4,Wednesday,False,2019,FQ4
20200123,2020-01-23,2020,Q1,1,January,4,Thursday,False,2019,FQ4
20200124,2020-01-24,2020,Q1,1,January,4,Friday,False,2019,FQ4
20200125,2020-01-25,2020,Q1,1,January,4,Saturday,True,2019,FQ4
20200126,2020-01-26,2020,Q1,1,January,4,Sunday,True,2019,FQ4
20200127,2020-01-27,2020,Q1,1,January,5,Monday,False,2019,FQ4
20200128,2020-01-28,2020,Q1,1,January,5,Tuesday,False,2019,FQ4
20200129,2020-01-29,2020,Q1,1,January,5,Wednesday,False,2019,FQ4
20200130,2020-01-30,2020,Q1,1,January,5,Thursday,False,2019,FQ4
20200131,2020-01-31,2020,Q1,1,January,5,Friday,False,2019,FQ4
20200201,2020-02-01,2020,Q1,2,February,5,Saturday,True,2019,FQ4
20200202,2020-02-02,2020,Q1,2,February,5,Sunday,True,2019,FQ4
20200203,2020-02-03,2020,Q1,2,February,6,Monday,False,2019,FQ4
20200204,2020-02-04,2020,Q1,2,February,6,Tuesday,False,2019,FQ4
20200205,2020-02-05,2020,Q1,2,February,6,Wednesday,False,2019,FQ4
20200206,2020-02-06,2020,Q1,2,February,6,Thursday,False,2019,FQ4
20200207,2020-02-07,2020,Q1,2,February,6,Friday,False,2019,FQ4
20200208,2020-02-08,2020,Q1,2,February,6,Saturday,True,2019,FQ4
20200209,2020-02-09,2020,Q1,2,February,6,Sunday,True,2019,FQ4
20200210,2020-02-10,2020,Q1,2,February,7,Monday,False,2019,FQ4
20200211,2020-02-11,2020,Q1,2,February,7,Tuesday,False,2019,FQ4
20200212,2020-02-12,2020,Q1,2,February,7,Wednesday,False,2019,FQ4
20200213,2020-02-13,2020,Q1,2,February,7,Thursday,False,2019,FQ4
20200214,2020-02-14,2020,Q1,2,February,7,Friday,False,2019,FQ4
20200215,2020-02-15,2020,Q1,2,February,7,Saturday,True,2019,FQ4
20200216,2020-02-16,2020,Q1,2,February,7,Sunday,True,2019,FQ4
20200217,2020-02-17,2020,Q1,2,February,8,Monday,False,2019,FQ4
20200218,2020-02-18,2020,Q1,2,February,8,Tuesday,False,2019,FQ4
