SalesID,DateID,RegionID,ModelID,UnitsSold,Revenue_USD,DiscountPct,SalesChannel
1,20200101,1,1,218,8273363,0.059,Direct
2,20200101,1,2,252,11641731,0.007,Dealer
3,20200101,1,3,106,7984591,0.044,Dealer
4,20200101,1,4,75,5736272,0.07,Dealer
5,20200101,1,5,140,4679081,0.027,Direct
6,20200101,1,6,90,2436002,0.028,Online
7,20200101,1,7,148,2787889,0.03,Online
8,20200101,1,8,49,1862759,0.069,Dealer
9,20200101,1,9,55,1685412,0.006,Dealer
10,20200101,1,10,70,2812762,0.036,Online
11,20200101,1,11,62,2421032,0.055,Direct
12,20200101,1,12,66,2543504,0.058,Dealer
13,20200101,1,13,30,1677724,0.018,Online
14,20200101,1,14,39,3467827,0.018,Direct
15,20200101,1,15,101,2780101,0.045,Online
16,20200101,1,16,29,1285152,0.071,Fleet
17,20200101,1,17,20,1384114,0.06,Fleet
18,20200101,1,18,20,1516198,0.018,Dealer
19,20200101,1,19,33,864484,0.05,Fleet
20,20200101,1,20,37,1148503,0.048,Fleet
21,20200101,1,21,7,187063,0.058,Online
22,20200101,1,22,16,474398,0.023,Dealer
23,20200101,1,23,8,762629,0.04,Dealer
24,20200101,1,24,21,2047336,0.05,Dealer
25,20200101,1,25,22,3100428,0.042,Direct
26,20200101,1,26,24,708133,0.009,Online
27,20200101,1,27,24,848134,0.07,Direct
28,20200101,1,28,26,1533094,0.006,Dealer
29,20200101,1,29,44,1805623,0.07,Fleet
30,20200101,1,30,67,2356902,0.06,Dealer
31,20200101,2,1,118,4570388,0.072,Fleet
32,20200101,2,2,113,5361968,0.027,Dealer
33,20200101,2,3,61,4243449,0.005,Direct
34,20200101,2,4,41,3047433,0.019,Fleet
35,20200101,2,5,85,2704321,0.038,Fleet
36,20200101,2,6,70,1851716,0.008,Fleet
37,20200101,2,7,62,1034579,0.052,Direct
38,20200101,2,8,49,1889311,0.064,Direct
39,20200101,2,9,31,967046,0.022,Dealer
40,20200101,2,10,48,1849930,0.065,Direct
41,20200101,2,11,57,2302236,0.074,Dealer
42,20200101,2,12,39,1568196,0.017,Fleet
43,20200101,2,13,,,0.031,Fleet
44,20200101,2,14,19,1672371,0.058,Fleet
45,20200101,2,15,57,1503391,0.043,Online
46,20200101,2,16,24,1075499,0.04,Dealer
47,20200101,2,17,13,844098,0.005,Dealer
48,20200101,2,18,11,894386,0.046,Direct
49,20200101,2,19,17,470942,0.075,Dealer
50,20200101,2,20,17,522699,0.021,Dealer
51,20200101,2,21,9,265631,0.006,Fleet
52,20200101,2,22,8,244325,0.008,Dealer
53,20200101,2,23,9,835213,0.02,Online
54,20200101,2,24,10,1073636,0.056,Direct
55,20200101,2,25,8,1030547,0.07,Online
56,20200101,2,26,7,196122,0.044,Online
57,20200101,2,27,10,384572,0.068,Fleet
58,20200101,2,28,24,1494160,0.004,Fleet
59,20200101,2,29,21,846019,0.078,Dealer
60,20200101,2,30,29,972082,0.034,Direct
61,20200101,3,1,160,6010510,0.003,Online
62,20200101,3,2,178,8357673,0.01,Online
63,20200101,3,3,36,2497670,0.029,Dealer
64,20200101,3,4,52,4017967,0.045,Fleet
65,20200101,3,5,103,3133757,0.013,Dealer
66,20200101,3,6,52,1344212,0.059,Online
67,20200101,3,7,68,1243042,0.02,Dealer
68,20200101,3,8,28,993832,0.07,Fleet
69,20200101,3,9,30,921288,0.064,Dealer
70,20200101,3,10,53,2209601,0.032,Online
71,20200101,3,11,39,1511094,0.032,Online
72,20200101,3,12,15,573619,0.078,Dealer
73,20200101,3,13,7,386852,0.028,Online
74,20200101,3,14,12,1095318,0.009,Dealer
75,20200101,3,15,,,0.074,Dealer
76,20200101,3,16,25,1045118,0.053,Online
77,20200101,3,17,7,507407,0.041,Fleet
78,20200101,3,18,7,551808,0.044,Dealer
79,20200101,3,19,9,261789,0.049,Online
80,20200101,3,20,23,756891,0.024,Dealer
81,20200101,3,21,6,170598,0.035,Dealer
82,20200101,3,22,10,314630,0.077,Dealer
83,20200101,3,23,8,799603,0.007,Dealer
84,20200101,3,24,7,693678,0.016,Direct
85,20200101,3,25,15,2111200,0.036,Dealer
86,20200101,3,26,11,320073,0.032,Dealer
87,20200101,3,27,9,349794,0.009,Fleet
88,20200101,3,28,18,1106018,0.056,Fleet
